Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00114752, 0.000638041, 0.000509018, 4.5077e-05, 2743, 4658, 2337
0.00116635, 0.000619059, 0.000546754, 4.9699e-05, 2692, 4600, 2460
0.00117425, 0.000624172, 0.000549437, 6.6039e-05, 2713, 4519, 2829
0.00111247, 0.000320287, 0.000791626, 5.9335e-05, 2610, 4655, 3321
0.00106684, 0.000320717, 0.000745752, 6.2658e-05, 2585, 4057, 3444
0.000983808, 0.000300392, 0.000682725, 7.5637e-05, 2540, 3982, 4551
0.00113468, 0.000290955, 0.000843225, 4.2658e-05, 2473, 3877, 2337
0.00156181, 0.000815754, 0.000745412, 7.6776e-05, 2459, 4061, 2706
0.00126951, 0.00064774, 0.00062119, 5.8184e-05, 2455, 4045, 3075
0.00118585, 0.000645698, 0.000539589, 6.3658e-05, 2499, 4240, 3567
0.00110925, 0.000655105, 0.000453336, 5.8353e-05, 2442, 3897, 3321
0.00125154, 0.000688917, 0.000562014, 8.2787e-05, 2556, 4232, 4428
0.00127571, 0.000706202, 0.000568498, 6.0109e-05, 2655, 4493, 3075
0.00140275, 0.000700648, 0.000701408, 6.9589e-05, 2571, 4169, 2337
0.00188034, 0.00112456, 0.000754762, 8.5322e-05, 2550, 4157, 2706
0.00123247, 0.000706102, 0.000525814, 6.7266e-05, 2578, 4361, 2829
0.0012635, 0.000693322, 0.000569599, 6.8237e-05, 2509, 4177, 2829
0.00126186, 0.000316812, 0.000944618, 5.5076e-05, 2588, 4195, 2706
0.00106535, 0.000292841, 0.000771936, 4.5748e-05, 1866, 3426, 1845
0.00124242, 0.000702118, 0.000538954, 8.8645e-05, 2983, 3905, 4551
0.00100199, 0.000274246, 0.000727249, 4.5488e-05, 1979, 3629, 2091
0.00134983, 0.00062349, 0.000725101, 7.1157e-05, 2713, 4132, 3075
0.00106995, 0.000337983, 0.000731407, 6.4439e-05, 2333, 3927, 2583
0.00119598, 0.000699648, 0.000495415, 4.456e-05, 2415, 4184, 2091
0.00117319, 0.000328675, 0.000843937, 6.6643e-05, 2483, 4088, 3690
0.00099202, 0.000315574, 0.000675756, 5.2408e-05, 2480, 3920, 2952
0.00149714, 0.000294074, 0.00120222, 6.2494e-05, 2182, 3919, 2091
0.00126041, 0.000651985, 0.000607725, 5.9459e-05, 2842, 4547, 3198
0.00114932, 0.000627563, 0.000520968, 4.8132e-05, 2447, 4177, 2091
0.00122896, 0.0006578, 0.000570342, 5.3004e-05, 2449, 4232, 2829
0.00112685, 0.000619276, 0.000507035, 4.9466e-05, 2370, 3973, 2460
0.00107491, 0.000616723, 0.0004576, 4.0961e-05, 2349, 3811, 1968
0.00124357, 0.000351328, 0.000891717, 5.3592e-05, 2324, 3857, 2214
0.00120508, 0.000729311, 0.000474996, 4.5666e-05, 2331, 3938, 2214
0.00108227, 0.000630436, 0.000451304, 3.8555e-05, 2387, 4075, 2091
0.00110258, 0.000620767, 0.000481083, 4.3982e-05, 2365, 4074, 2214
0.00120578, 0.000683988, 0.000521081, 5.479e-05, 2322, 4098, 2460
0.00119684, 0.000670685, 0.000525666, 4.5895e-05, 2457, 4177, 2337
0.00163632, 0.000861618, 0.000773815, 7.2449e-05, 2386, 4196, 2091
0.00138817, 0.000777398, 0.000609977, 7.1293e-05, 2491, 4306, 2952
0.00139143, 0.000868936, 0.000520721, 3.8516e-05, 2552, 4668, 1353
0.00130006, 0.000849435, 0.000450098, 4.7197e-05, 2485, 4256, 2706
0.00107365, 0.000641733, 0.000431349, 7.0082e-05, 2398, 4097, 3444
0.00119651, 0.000686789, 0.000508998, 5.4844e-05, 2324, 3972, 2706
0.00107312, 0.000646188, 0.000426274, 3.5385e-05, 2361, 3906, 1845
0.00131566, 0.000814889, 0.000500279, 3.7902e-05, 2371, 4053, 2091
0.00120693, 0.000714267, 0.000492071, 4.2405e-05, 2400, 4303, 1968
0.00138299, 0.000786591, 0.000595777, 3.5536e-05, 2414, 4229, 1845
0.00157074, 0.000803557, 0.000765689, 0.000107859, 2454, 4260, 2214
0.00145305, 0.000326983, 0.00112554, 6.2624e-05, 2491, 4436, 3198
0.00125567, 0.000778803, 0.000476034, 4.9038e-05, 2520, 4318, 2460
0.00109546, 0.000324707, 0.000770221, 5.5901e-05, 2488, 4411, 2706
0.00105895, 0.000586095, 0.000472303, 6.1011e-05, 2541, 4404, 3321
0.00133372, 0.000445275, 0.000887847, 0.000139444, 2456, 4278, 4059
0.00112941, 0.000345418, 0.000783206, 7.5581e-05, 2330, 3840, 3321
0.00132822, 0.000676882, 0.000650764, 8.7691e-05, 2286, 3910, 2706
0.00128134, 0.000589869, 0.000690847, 6.5008e-05, 2370, 4139, 3444
0.00124156, 0.000653577, 0.000587386, 8.6593e-05, 2488, 4442, 3813
0.00129149, 0.000738598, 0.000551398, 6.4775e-05, 2422, 4049, 3198
0.00140157, 0.000824129, 0.000576064, 6.5349e-05, 2437, 4364, 3444
0.00120021, 0.000692409, 0.000506781, 5.3941e-05, 2395, 4260, 2829
0.00108273, 0.00031621, 0.000765559, 3.6728e-05, 2234, 4023, 1968
0.00143398, 0.000774099, 0.000658691, 5.3087e-05, 2623, 4556, 1845
0.00186247, 0.000910791, 0.000948252, 9.0922e-05, 2554, 4676, 3198
0.00112789, 0.000634974, 0.000491866, 4.9485e-05, 2570, 4459, 2091
0.00102932, 0.00057715, 0.000451712, 5.5904e-05, 2482, 3967, 2952
0.00110331, 0.000606053, 0.000496591, 4.494e-05, 2499, 4221, 2460
0.00107881, 0.000571144, 0.000507063, 4.0817e-05, 2408, 4156, 2214
0.00116676, 0.000617435, 0.000548329, 4.9226e-05, 2440, 4370, 2583
0.00104035, 0.000598865, 0.000440829, 4.7203e-05, 2385, 4176, 2706
0.00102792, 0.000544105, 0.000483234, 3.2478e-05, 2415, 4241, 1599
0.00103122, 0.000542162, 0.00048864, 3.7472e-05, 2423, 4371, 1968
0.00116651, 0.000682133, 0.000483635, 4.2939e-05, 2526, 4565, 1845
0.00109807, 0.000625938, 0.000471561, 2.719e-05, 2606, 4681, 1230
0.00112545, 0.000582578, 0.000542142, 3.5722e-05, 2573, 4534, 1968
0.00120726, 0.000690242, 0.000516212, 5.8606e-05, 2520, 4438, 2829
0.00107999, 0.00061082, 0.000468567, 5.9107e-05, 2532, 4529, 2829
0.00107007, 0.000624546, 0.00044486, 5.414e-05, 2504, 4395, 3075
0.00106025, 0.00063698, 0.000422564, 3.3889e-05, 2371, 4214, 1722
0.00103244, 0.00029611, 0.000735794, 3.5072e-05, 2355, 3987, 1845
0.00108801, 0.000297672, 0.000789722, 5.2061e-05, 2321, 3990, 2337
0.00107689, 0.000577391, 0.000498789, 6.3374e-05, 2369, 4046, 3198
0.00104457, 0.00031374, 0.000730402, 4.5994e-05, 2401, 4179, 2214
0.0010184, 0.00059267, 0.000424891, 5.2343e-05, 2495, 4006, 2829
0.00101702, 0.000329348, 0.000687121, 3.6613e-05, 2448, 4094, 1845
0.00106853, 0.000323532, 0.000744518, 5.89e-05, 2485, 4276, 2952
0.0013588, 0.000765994, 0.000592078, 6.8705e-05, 2615, 4436, 3198
0.00119396, 0.000353137, 0.000840342, 5.4704e-05, 2646, 4685, 2829
